TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
7.57080226e-01 7.57080779e-01 7.57081327e-01 7.57081872e-01 7.57082414e-01 
7.57082952e-01 7.57083486e-01 7.57084017e-01 7.57084544e-01 7.57085068e-01 
7.57085588e-01 7.57086105e-01 7.57086619e-01 7.57087129e-01 7.57087636e-01 
7.57088139e-01 7.57088640e-01 7.57089137e-01 7.57089630e-01 7.57090121e-01 
7.57090608e-01 7.57091092e-01 7.57091573e-01 7.57092051e-01 7.57092526e-01 
7.57092998e-01 7.57093466e-01 7.57093932e-01 7.57094395e-01 7.57094854e-01 
7.57095311e-01 7.57095765e-01 7.57096216e-01 7.57096663e-01 7.57097109e-01 
7.57097551e-01 7.57097990e-01 7.57098427e-01 7.57098861e-01 7.57099292e-01 
7.57099720e-01 7.57100146e-01 7.57100569e-01 7.57100989e-01 7.57101407e-01 
7.57101822e-01 7.57102234e-01 7.57102644e-01 7.57103051e-01 7.57103456e-01 
7.57103858e-01 7.57104257e-01 7.57104654e-01 7.57105049e-01 7.57105441e-01 
7.57105831e-01 7.57106218e-01 7.57106603e-01 7.57106985e-01 7.57107365e-01 
7.57107743e-01 7.57108119e-01 7.57108492e-01 7.57108862e-01 7.57109231e-01 
7.57109597e-01 7.57109961e-01 7.57110323e-01 7.57110682e-01 7.57111039e-01 
7.57111394e-01 7.57111747e-01 7.57112098e-01 7.57112447e-01 7.57112793e-01 
7.57113138e-01 7.57113480e-01 7.57113820e-01 7.57114158e-01 7.57114494e-01 
7.57114828e-01 7.57115160e-01 7.57115490e-01 7.57115819e-01 7.57116145e-01 
7.57116469e-01 7.57116791e-01 7.57117111e-01 7.57117429e-01 7.57117746e-01 
7.57118060e-01 7.57118373e-01 7.57118684e-01 7.57118993e-01 7.57119300e-01 
7.57119605e-01 7.57119908e-01 7.57120210e-01 7.57120510e-01 7.57120808e-01 
7.57121104e-01 7.57121399e-01 7.57121691e-01 7.57121982e-01 7.57122272e-01 
7.57122560e-01 7.57122845e-01 7.57123130e-01 7.57123412e-01 7.57123693e-01 
7.57123973e-01 7.57124250e-01 7.57124527e-01 7.57124801e-01 7.57125074e-01 
7.57125345e-01 7.57125615e-01 7.57125883e-01 7.57126150e-01 7.57126415e-01 
7.57126678e-01 7.57126940e-01 7.57127201e-01 7.57127460e-01 7.57127717e-01 
7.57127973e-01 7.57128228e-01 7.57128481e-01 7.57128733e-01 7.57128983e-01 
7.57129232e-01 7.57129479e-01 7.57129725e-01 7.57129970e-01 7.57130213e-01 
7.57130455e-01 7.57130695e-01 7.57130934e-01 7.57131172e-01 7.57131408e-01 
7.57131643e-01 7.57131877e-01 7.57132109e-01 7.57132340e-01 7.57132570e-01 
7.57132799e-01 7.57133026e-01 7.57133252e-01 7.57133476e-01 7.57133700e-01 
7.57133922e-01 7.57134143e-01 7.57134363e-01 7.57134581e-01 7.57134798e-01 
7.57135015e-01 7.57135229e-01 7.57135443e-01 7.57135656e-01 7.57135867e-01 
7.57136077e-01 7.57136286e-01 7.57136494e-01 7.57136701e-01 7.57136906e-01 
7.57137111e-01 7.57137314e-01 7.57137516e-01 7.57137717e-01 7.57137917e-01 
7.57138116e-01 7.57138314e-01 7.57138511e-01 7.57138707e-01 7.57138901e-01 
